partition,  #nodes, #edges, max/min deg,    radius, diam,   #centers
3x3->3,     10,     16,     4/3,            3,      3,      10
4x4->4,     117,    260,    8/3,            6,      8,      36
4x4->2,     70,     328,    12/7,           4,      5,      62
4x4->8,     36,     70,     6/1,            5,      10,     6
5x5->5,     4006,   13416,  13/1,           11,     14,     136
